eventnumber,index,sequencenumber,yokedsequencenumber,istarget,presentationnumber,stimnumber,stim,response,correct,rt,stimname,time_stimon,time_stimoff,stimdur
933,1569,4,7,0,90,36,stimuli_orig\Monkey3_face.jpg,0,0,0,Monkey3_face.jpg,295.0202203672238,295.1201867614277,0.0999663942038751
934,1570,4,7,0,91,51,stimuli_orig\Wolf3_body.jpg,0,0,0,Wolf3_body.jpg,295.22020857880307,295.3202037109477,0.09999513214461331
935,1571,4,7,0,92,22,stimuli_orig\Flower7.jpg,0,0,0,Flower7.jpg,295.4202316864539,295.52020335905445,0.09997167260053175
936,1572,4,7,0,93,14,stimuli_orig\Deer1_face.jpg,0,0,0,Deer1_face.jpg,295.62019937093237,295.72021737613204,0.10001800519967219
937,1573,4,7,0,94,17,stimuli_orig\Deer3_body.jpg,0,0,0,Deer3_body.jpg,295.8202139744981,295.9202114525974,0.09999747809933979
938,1574,4,7,0,95,52,stimuli_orig\Wrench1.jpg,0,0,0,Wrench1.jpg,296.02021332936056,296.1201958520005,0.099982522639948
939,1575,4,7,0,96,8,stimuli_orig\Carrat1.jpg,0,0,0,Carrat1.jpg,296.2202082855588,296.32019550010773,0.09998721454894621
940,1576,4,7,0,97,18,stimuli_orig\Deer3_face.jpg,0,0,0,Deer3_face.jpg,296.4201894592752,296.5201743278694,0.09998486859421973
941,1577,4,7,0,98,10,stimuli_orig\Cheeta1_face.jpg,0,0,0,Cheeta1_face.jpg,296.62017473841115,296.72019127738986,0.1000165389787071
942,1578,4,7,0,99,44,stimuli_orig\Seashell1.jpg,0,0,0,Seashell1.jpg,296.82014975399716,296.9201891660309,0.10003941203376598
943,1579,4,7,0,100,28,stimuli_orig\Headphone1.jpg,0,0,0,Headphone1.jpg,297.02016729000616,297.1201615424179,0.09999425241176141
944,1580,4,7,0,101,7,stimuli_orig\Camel3_body.jpg,0,0,0,Camel3_body.jpg,297.2201824800609,297.32013978369105,0.09995730363016264
945,1581,4,7,0,102,29,stimuli_orig\Helmet1.jpg,0,0,0,Helmet1.jpg,297.4201589618683,297.5201649440519,0.10000598218357482
946,1582,4,7,0,103,46,stimuli_orig\Sheep2_face.jpg,0,0,0,Sheep2_face.jpg,297.6201753248997,297.7201692840672,0.09999395916747744
947,1583,4,7,0,104,24,stimuli_orig\Giraffe3_body.jpg,0,0,0,Giraffe3_body.jpg,297.82015151346286,297.920164826754,0.10001331329112872
948,1584,4,7,0,105,42,stimuli_orig\Raccoon3_face.jpg,0,0,0,Raccoon3_face.jpg,298.0201508683258,298.1201720992126,0.10002123088679582
949,1585,4,7,0,106,24,stimuli_orig\Giraffe3_body.jpg,0,0,0,Giraffe3_body.jpg,298.2201434785693,298.3201383174696,0.09999483890032934
950,1586,4,7,0,107,13,stimuli_orig\Cucumber1.jpg,0,0,0,Cucumber1.jpg,298.42014195369893,298.5201602521429,0.10001829844395616
951,1587,4,7,0,108,12,stimuli_orig\Cow4_body.jpg,0,0,0,Cow4_body.jpg,298.62015567753224,298.7201522758983,0.09999659836603314
952,1588,4,7,0,109,16,stimuli_orig\Deer2_face.jpg,0,0,0,Deer2_face.jpg,298.82013597151536,298.92014781858506,0.10001184706970889
953,1589,4,7,0,110,10,stimuli_orig\Cheeta1_face.jpg,0,0,0,Cheeta1_face.jpg,299.0201306344693,299.12012518012534,0.09999454565604537
954,1590,4,7,0,111,46,stimuli_orig\Sheep2_face.jpg,0,0,0,Sheep2_face.jpg,299.2201294028432,299.3201433026229,0.10001389977969666
955,1591,4,7,0,112,14,stimuli_orig\Deer1_face.jpg,0,0,0,Deer1_face.jpg,299.42014547263034,299.5201379655764,0.09999249294605761
956,1592,4,7,0,113,51,stimuli_orig\Wolf3_body.jpg,0,0,0,Wolf3_body.jpg,299.62013661665287,299.7201352677289,0.0999986510760209
957,1593,4,7,0,114,29,stimuli_orig\Helmet1.jpg,0,0,0,Helmet1.jpg,299.82013274582823,299.9201287577057,0.09999601187746521
958,1594,4,7,0,115,35,stimuli_orig\Microscope2.jpg,0,0,0,Microscope2.jpg,300.0201262358046,300.12012342065964,0.09999718485505582
959,1595,4,7,0,116,36,stimuli_orig\Monkey3_face.jpg,0,0,0,Monkey3_face.jpg,300.2201208987585,300.32011749712456,0.09999659836603314
960,1596,4,7,0,117,6,stimuli_orig\Cactus1.jpg,0,0,0,Cactus1.jpg,300.420118200911,300.5201118668342,0.09999366592319348
961,1597,4,7,0,118,23,stimuli_orig\Fox2_face.jpg,0,0,0,Fox2_face.jpg,300.62010641249026,300.7201024243677,0.09999601187746521
962,1598,4,7,0,119,33,stimuli_orig\Leaf1.jpg,0,0,0,Leaf1.jpg,300.8201007821999,300.92009591434453,0.09999513214461331
963,1599,4,7,0,120,9,stimuli_orig\Chandelier1.jpg,0,0,0,Chandelier1.jpg,301.0200954451534,301.1200914570313,0.09999601187791995
964,1600,4,7,0,121,20,stimuli_orig\Flower5.jpg,0,0,0,Flower5.jpg,301.2200953865049,301.3200890524281,0.09999366592319348
965,1601,4,7,0,122,21,stimuli_orig\Flower6.jpg,0,0,0,Flower6.jpg,301.42008741025984,301.520087820802,0.10000041054217945
966,1602,4,7,0,123,43,stimuli_orig\Screw1.jpg,0,0,0,Screw1.jpg,301.6200923367642,301.7200904013516,0.09999806458745297
967,1603,4,7,0,124,52,stimuli_orig\Wrench1.jpg,0,0,0,Wrench1.jpg,301.8200776159001,301.92007743995373,0.09999982405361152
968,1604,4,7,0,125,22,stimuli_orig\Flower7.jpg,0,0,0,Flower7.jpg,302.02007403831976,302.1200682907315,0.09999425241176141
969,1605,4,7,0,126,4,stimuli_orig\Bicycle1.jpg,0,0,0,Bicycle1.jpg,302.22007134047226,302.3200626604412,0.09999131996892174
970,1606,4,7,0,127,45,stimuli_orig\Sheep2_body.jpg,0,0,0,Sheep2_body.jpg,302.42006336422764,302.52006025583796,0.0999968916103171
971,1607,4,7,0,128,27,stimuli_orig\Goat4_face.jpg,0,0,0,Goat4_face.jpg,302.62005920015827,302.7200546255476,0.09999542538935202
972,1608,4,7,0,129,2,stimuli_orig\Apple1.jpg,0,0,0,Apple1.jpg,302.8200535698679,302.9200536871658,0.10000011729789549
973,1609,4,7,0,130,28,stimuli_orig\Headphone1.jpg,0,0,0,Headphone1.jpg,303.0200476463333,303.12004571092075,0.09999806458745297
974,1610,4,7,0,131,47,stimuli_orig\Spinich1.jpg,0,0,0,Spinich1.jpg,303.2200481741729,303.320040667119,0.09999249294605761
975,1611,4,7,0,132,34,stimuli_orig\Lynx1_body.jpg,0,0,0,Lynx1_body.jpg,303.4200390249507,303.5200543909518,0.10001536600111649
976,1612,4,7,1,133,53,stimuli_targets\blacksquare.jpg,0,0,0,blacksquare.jpg,303.6200360338589,303.7200323389811,0.09999630512220392
977,1613,4,7,0,134,15,stimuli_orig\Deer2_body.jpg,0,0,0,Deer2_body.jpg,303.8200304035686,303.92002670869033,0.09999630512174917
978,1614,4,7,0,135,5,stimuli_orig\Bottle2.jpg,0,0,0,Bottle2.jpg,304.02002623949966,304.1200243040871,0.09999806458745297
979,1615,4,7,0,136,31,stimuli_orig\Kangaroo1_face.jpg,1,1,0,Kangaroo1_face.jpg,304.22002178218645,304.3200163278425,0.09999454565604537
980,1616,4,7,0,137,30,stimuli_orig\Horse3_body.jpg,0,0,0,Horse3_body.jpg,304.4200173248728,304.52001450972784,0.09999718485505582
981,1617,4,7,0,138,7,stimuli_orig\Camel3_body.jpg,0,0,0,Camel3_body.jpg,304.620012281071,304.7200059469942,0.09999366592319348
982,1618,4,7,0,139,37,stimuli_orig\Motorcycle3.jpg,0,0,0,Motorcycle3.jpg,304.82000694402495,304.9200032491467,0.09999630512174917
983,1619,4,7,0,140,1,stimuli_orig\Anchor2.jpg,0,0,0,Anchor2.jpg,305.02000424617745,305.1199990850778,0.09999483890032934
984,1620,4,7,0,141,48,stimuli_orig\Table2.jpg,0,0,0,Table2.jpg,305.2199962699324,305.31999228180985,0.09999601187746521
985,1621,4,7,0,142,8,stimuli_orig\Carrat1.jpg,0,0,0,Carrat1.jpg,305.41999445181773,305.5199887042295,0.09999425241176141
986,1622,4,7,0,143,50,stimuli_orig\Wolf1_body.jpg,0,0,0,Wolf1_body.jpg,305.6199867688174,305.71998307393915,0.09999630512174917
987,1623,4,7,0,144,25,stimuli_orig\Goat2_face.jpg,0,0,0,Goat2_face.jpg,305.81998319123704,305.9199789098702,0.09999571863318124
988,1624,4,7,0,145,18,stimuli_orig\Deer3_face.jpg,0,0,0,Deer3_face.jpg,306.01997961365623,306.119973866068,0.09999425241176141
989,1625,4,7,0,146,44,stimuli_orig\Seashell1.jpg,0,0,0,Seashell1.jpg,306.2199742766102,306.3199708749762,0.09999659836603314
990,1626,4,7,0,147,11,stimuli_orig\Corn1.jpg,0,0,0,Corn1.jpg,306.41997040578553,306.519966417663,0.09999601187746521
991,1627,4,7,0,148,19,stimuli_orig\Flower3.jpg,0,0,0,Flower3.jpg,306.6199644822509,306.7199596143955,0.09999513214461331
992,1628,4,7,0,149,41,stimuli_orig\Rabbit2_face.jpg,0,0,0,Rabbit2_face.jpg,306.81996002493725,306.9199592625023,0.09999923756504359
993,1629,4,7,0,150,3,stimuli_orig\Beaver1_body.jpg,0,0,0,Beaver1_body.jpg,307.0199543946469,307.1199336915997,0.09997929695282437
994,1630,4,7,0,151,32,stimuli_orig\Kangaroo3_face.jpg,0,0,0,Kangaroo3_face.jpg,307.21995257653225,307.319946828944,0.09999425241176141
995,1631,4,7,0,152,49,stimuli_orig\Toothpaste1.jpg,0,0,0,Toothpaste1.jpg,307.41995017192903,307.5199420783865,0.09999190645748968
996,1632,4,7,0,153,17,stimuli_orig\Deer3_body.jpg,0,0,0,Deer3_body.jpg,307.6199416091954,307.71993615485144,0.09999454565604537
997,1633,4,7,0,154,26,stimuli_orig\Goat4_body.jpg,0,0,0,Goat4_body.jpg,307.8199383248593,307.9199346299815,0.09999630512220392
998,1634,4,7,0,155,40,stimuli_orig\Rabbit1_body.jpg,0,0,0,Rabbit1_body.jpg,308.01993122834756,308.119929292935,0.09999806458745297
999,1635,4,7,0,156,38,stimuli_orig\Object2.jpg,0,0,0,Object2.jpg,308.21992677103435,308.31992073020183,0.09999395916747744
1000,1636,4,7,0,157,39,stimuli_orig\Onion2.jpg,0,0,0,Onion2.jpg,308.41992319345354,308.51992331075144,0.10000011729789549
1001,1637,4,7,0,158,3,stimuli_orig\Beaver1_body.jpg,0,0,0,Beaver1_body.jpg,308.6199175631632,308.71991650748396,0.09999894432075962
1002,1638,4,7,0,159,34,stimuli_orig\Lynx1_body.jpg,0,0,0,Lynx1_body.jpg,308.81991369233856,308.9199085312389,0.09999483890032934
1003,1639,4,7,0,160,43,stimuli_orig\Screw1.jpg,0,0,0,Screw1.jpg,309.01991509991103,309.11990641987995,0.09999131996892174
1004,1640,4,7,0,161,42,stimuli_orig\Raccoon3_face.jpg,0,0,0,Raccoon3_face.jpg,309.2199109358421,309.3199048950096,0.09999395916747744
1005,1641,4,7,0,162,14,stimuli_orig\Deer1_face.jpg,0,0,0,Deer1_face.jpg,309.4199220204764,309.51987228624375,0.09995026576734745
1006,1642,4,7,0,163,6,stimuli_orig\Cactus1.jpg,0,0,0,Cactus1.jpg,309.6198718170531,309.71989334118416,0.10002152413107979
1007,1643,4,7,0,164,4,stimuli_orig\Bicycle1.jpg,0,0,0,Bicycle1.jpg,309.81988964630636,309.9198663040602,0.09997665775381392
1008,1644,4,7,0,165,40,stimuli_orig\Rabbit1_body.jpg,0,0,0,Rabbit1_body.jpg,310.0198673010909,310.1198973293067,0.10003002821576956
1009,1645,4,7,0,166,38,stimuli_orig\Object2.jpg,0,0,0,Object2.jpg,310.21986401675485,310.31986325431944,0.09999923756458884
1010,1646,4,7,0,167,8,stimuli_orig\Carrat1.jpg,0,0,0,Carrat1.jpg,310.41988067303055,310.51986847406806,0.09998780103751415
1011,1647,4,7,0,168,29,stimuli_orig\Helmet1.jpg,0,0,0,Helmet1.jpg,310.61987386976307,310.71984583560834,0.09997196584527046
1012,1648,4,7,0,169,24,stimuli_orig\Giraffe3_body.jpg,0,0,0,Giraffe3_body.jpg,310.8198465393948,310.91983932558514,0.09999278619034158
1013,1649,4,7,0,170,39,stimuli_orig\Onion2.jpg,0,0,0,Onion2.jpg,311.01983826990545,311.1198325223172,0.09999425241176141
1014,1650,4,7,0,171,37,stimuli_orig\Motorcycle3.jpg,0,0,0,Motorcycle3.jpg,311.2198546329373,311.3198277717597,0.09997313882240633
1015,1651,4,7,0,172,28,stimuli_orig\Headphone1.jpg,0,0,0,Headphone1.jpg,311.41982906203475,311.5198239009351,0.09999483890032934
1016,1652,4,7,0,173,52,stimuli_orig\Wrench1.jpg,0,0,0,Wrench1.jpg,311.6198043708646,311.7198308801494,0.10002650928481671
1017,1653,4,7,0,174,31,stimuli_orig\Kangaroo1_face.jpg,0,0,0,Kangaroo1_face.jpg,311.8198424339744,311.91982085119434,0.09997841721997247
1018,1654,4,7,0,175,45,stimuli_orig\Sheep2_body.jpg,0,0,0,Sheep2_body.jpg,312.0198186225375,312.1197900018942,0.09997137935670253
1019,1655,4,7,0,176,27,stimuli_orig\Goat4_face.jpg,0,0,0,Goat4_face.jpg,312.2197886529707,312.3198315839354,0.10004293096471883
1020,1656,4,7,0,177,19,stimuli_orig\Flower3.jpg,0,0,0,Flower3.jpg,312.4198053092464,312.51980454681143,0.09999923756504359
1021,1657,4,7,0,178,11,stimuli_orig\Corn1.jpg,0,0,0,Corn1.jpg,312.61978091132096,312.7197959840778,0.10001507275683252
1022,1658,4,7,0,179,15,stimuli_orig\Deer2_body.jpg,0,0,0,Deer2_body.jpg,312.8198183879422,312.91979211325315,0.09997372531097426
1023,1659,4,7,0,180,20,stimuli_orig\Flower5.jpg,0,0,0,Flower5.jpg,313.01981598333896,313.11979146811564,0.09997548477667806
1024,1660,4,7,0,181,23,stimuli_orig\Fox2_face.jpg,0,0,0,Fox2_face.jpg,313.21979686381064,313.319787597291,0.09999073348035381
1025,1661,4,7,0,182,1,stimuli_orig\Anchor2.jpg,0,0,0,Anchor2.jpg,313.4198111741325,313.519811877919,0.10000070378646342
1026,1662,4,7,0,183,22,stimuli_orig\Flower7.jpg,0,0,0,Flower7.jpg,313.61978296403095,313.7197959840778,0.10001302004684476
1027,1663,4,7,0,184,32,stimuli_orig\Kangaroo3_face.jpg,0,0,0,Kangaroo3_face.jpg,313.8197837851153,313.91977803752707,0.09999425241176141
1028,1664,4,7,0,185,12,stimuli_orig\Cow4_body.jpg,0,0,0,Cow4_body.jpg,314.01977170345026,314.11977240723627,0.10000070378600867
1029,1665,4,7,0,186,10,stimuli_orig\Cheeta1_face.jpg,0,0,0,Cheeta1_face.jpg,314.2197678326256,314.3197465430894,0.09997871046380169
1030,1666,4,7,0,187,48,stimuli_orig\Table2.jpg,0,0,0,Table2.jpg,314.4197707064195,314.51976173314415,0.09999102672463778
1031,1667,4,7,0,188,51,stimuli_orig\Wolf3_body.jpg,0,0,0,Wolf3_body.jpg,314.61976888830486,314.71977076506846,0.10000187676359928
1032,1668,4,7,0,189,41,stimuli_orig\Rabbit2_face.jpg,0,0,0,Rabbit2_face.jpg,314.81977674725204,314.9197751050838,0.09999835783173694
1033,1669,4,7,0,190,2,stimuli_orig\Apple1.jpg,0,0,0,Apple1.jpg,315.0197781548245,315.11977123425913,0.09999307943462554
1034,1670,4,7,0,191,9,stimuli_orig\Chandelier1.jpg,0,0,0,Chandelier1.jpg,315.2197698853356,315.31976853641163,0.0999986510760209
1035,1671,4,7,0,192,21,stimuli_orig\Flower6.jpg,0,0,0,Flower6.jpg,315.41976601451097,315.5197623196327,0.09999630512174917
1036,1672,4,7,0,193,5,stimuli_orig\Bottle2.jpg,0,0,0,Bottle2.jpg,315.61976243693016,315.71975580960907,0.09999337267890951
1037,1673,4,7,0,194,16,stimuli_orig\Deer2_face.jpg,0,0,0,Deer2_face.jpg,315.81975446068554,315.91974988607444,0.09999542538889727
1038,1674,4,7,0,195,50,stimuli_orig\Wolf1_body.jpg,0,0,0,Wolf1_body.jpg,316.01974325875335,316.1197424963184,0.09999923756504359
1039,1675,4,7,0,196,49,stimuli_orig\Toothpaste1.jpg,0,0,0,Toothpaste1.jpg,316.219741733883,316.3197353998062,0.09999366592319348
1040,1676,4,7,0,197,7,stimuli_orig\Camel3_body.jpg,0,0,0,Camel3_body.jpg,316.4197349306155,316.51973944657766,0.10000451596215498
1041,1677,4,7,0,198,25,stimuli_orig\Goat2_face.jpg,0,0,0,Goat2_face.jpg,316.6197298868133,316.7197276581569,0.09999777134362375
1042,1678,4,7,0,199,36,stimuli_orig\Monkey3_face.jpg,0,0,0,Monkey3_face.jpg,316.81972718896577,316.91972613328653,0.09999894432075962
1043,1679,4,7,0,200,17,stimuli_orig\Deer3_body.jpg,0,0,0,Deer3_body.jpg,317.0197303560044,317.11973018005756,0.09999982405315677
1044,1680,4,7,0,201,44,stimuli_orig\Seashell1.jpg,0,0,0,Seashell1.jpg,317.21971680811794,317.319711353774,0.09999454565604537
1045,1681,4,7,0,202,18,stimuli_orig\Deer3_face.jpg,0,0,0,Deer3_face.jpg,317.419674229046,317.5197063099722,0.10003208092621207
1046,1682,4,7,0,203,33,stimuli_orig\Leaf1.jpg,0,0,0,Leaf1.jpg,317.6197058407811,317.7197033188804,0.09999747809933979
1047,1683,4,7,0,204,35,stimuli_orig\Microscope2.jpg,0,0,0,Microscope2.jpg,317.8197013834679,317.9196965156125,0.09999513214461331
1048,1684,4,7,0,205,46,stimuli_orig\Sheep2_face.jpg,0,0,0,Sheep2_face.jpg,318.0197013248189,318.11969469749783,0.09999337267890951
1049,1685,4,7,0,206,26,stimuli_orig\Goat4_body.jpg,0,0,0,Goat4_body.jpg,318.21969276208574,318.31968994694034,0.09999718485460107
1050,1686,4,7,0,207,30,stimuli_orig\Horse3_body.jpg,0,0,0,Horse3_body.jpg,318.4196909439711,318.51968402340526,0.0999930794341708
1051,1687,4,7,0,208,47,stimuli_orig\Spinich1.jpg,0,0,0,Spinich1.jpg,318.6196835542146,318.71967927284777,0.09999571863318124
1052,1688,4,7,0,209,13,stimuli_orig\Cucumber1.jpg,0,0,0,Cucumber1.jpg,318.8196790969014,318.91967305606886,0.09999395916747744
1053,1689,5,8,0,0,9,stimuli_orig\Chandelier1.jpg,0,0,0,Chandelier1.jpg,323.80289789878725,323.90289303093186,0.09999513214461331
1054,1690,5,8,0,1,2,stimuli_orig\Apple1.jpg,0,0,0,Apple1.jpg,324.00289050903075,324.1028882803744,0.09999777134362375
1055,1691,5,8,0,2,49,stimuli_orig\Toothpaste1.jpg,0,0,0,Toothpaste1.jpg,324.2028851719847,324.30288089061787,0.09999571863318124
1056,1692,5,8,0,3,35,stimuli_orig\Microscope2.jpg,0,0,0,Microscope2.jpg,324.40288130116005,324.5028778995261,0.09999659836603314
1057,1693,5,8,0,4,1,stimuli_orig\Anchor2.jpg,0,0,0,Anchor2.jpg,324.60287831006826,324.70287226923574,0.09999395916747744
1058,1694,5,8,0,5,26,stimuli_orig\Goat4_body.jpg,0,0,0,Goat4_body.jpg,324.8028747324879,324.90286722543397,0.09999249294605761
1059,1695,5,8,0,6,13,stimuli_orig\Cucumber1.jpg,0,0,0,Cucumber1.jpg,325.0028676359757,325.1028659938079,0.09999835783219169
1060,1696,5,8,0,7,43,stimuli_orig\Screw1.jpg,0,0,0,Screw1.jpg,325.20286200568535,325.3028568445857,0.09999483890032934
1061,1697,5,8,0,8,30,stimuli_orig\Horse3_body.jpg,0,0,0,Horse3_body.jpg,325.4028587213493,325.50286089135716,0.10000217000788325
1062,1698,5,8,0,9,19,stimuli_orig\Flower3.jpg,0,0,0,Flower3.jpg,325.6028527978142,325.70285379484494,0.10000099703074738
1063,1699,5,8,0,10,11,stimuli_orig\Corn1.jpg,0,0,0,Corn1.jpg,325.8028509797,325.90284904428745,0.09999806458745297
1064,1700,5,8,0,11,51,stimuli_orig\Wolf3_body.jpg,0,0,0,Wolf3_body.jpg,326.0028450561649,326.10284018830953,0.09999513214461331
1065,1701,5,8,0,12,44,stimuli_orig\Seashell1.jpg,0,0,0,Seashell1.jpg,326.2028394258746,326.3028568445857,0.10001741871110426
1066,1702,5,8,0,13,14,stimuli_orig\Deer1_face.jpg,0,0,0,Deer1_face.jpg,326.40283702127135,326.5028336196374,0.09999659836603314
1067,1703,5,8,0,14,3,stimuli_orig\Beaver1_body.jpg,0,0,0,Beaver1_body.jpg,326.6028319774696,326.7028288690799,0.0999968916103171
1068,1704,5,8,0,15,32,stimuli_orig\Kangaroo3_face.jpg,0,0,0,Kangaroo3_face.jpg,326.8028278134002,326.90282059959054,0.09999278619034158
1069,1705,5,8,0,16,31,stimuli_orig\Kangaroo1_face.jpg,0,0,0,Kangaroo1_face.jpg,327.002821303377,327.1028170220102,0.09999571863318124
1070,1706,5,8,0,17,52,stimuli_orig\Wrench1.jpg,0,0,0,Wrench1.jpg,327.20281596633095,327.3028116849641,0.09999571863318124
1071,1707,5,8,1,18,54,stimuli_targets\blacktriangle.jpg,0,0,0,blacktriangle.jpg,327.4028135617277,327.5028063479176,0.09999278618988683
1072,1708,5,8,0,19,17,stimuli_orig\Deer3_body.jpg,0,0,0,Deer3_body.jpg,327.6028049989941,327.70280277033726,0.099997771343169
1073,1709,5,8,0,20,20,stimuli_orig\Flower5.jpg,1,1,0,Flower5.jpg,327.802803767368,327.90279655355835,0.09999278619034158
1074,1710,5,8,0,21,33,stimuli_orig\Leaf1.jpg,0,0,0,Leaf1.jpg,328.0027969641005,328.1027944421994,0.09999747809888504
1075,1711,5,8,0,22,8,stimuli_orig\Carrat1.jpg,0,0,0,Carrat1.jpg,328.2027913338097,328.3027870524429,0.09999571863318124
1076,1712,5,8,0,23,37,stimuli_orig\Motorcycle3.jpg,0,0,0,Motorcycle3.jpg,328.4027892224508,328.50278347486255,0.09999425241176141
1077,1713,5,8,0,24,16,stimuli_orig\Deer2_face.jpg,0,0,0,Deer2_face.jpg,328.60278212593903,328.70278253648075,0.1000004105417247
1078,1714,5,8,0,25,7,stimuli_orig\Camel3_body.jpg,0,0,0,Camel3_body.jpg,328.80278412000007,328.90277250752615,0.09998838752608208
1079,1715,5,8,0,26,42,stimuli_orig\Raccoon3_face.jpg,0,0,0,Raccoon3_face.jpg,329.0027749707783,329.10274488391315,0.09996991313482795
1080,1716,5,8,0,27,39,stimuli_orig\Onion2.jpg,0,0,0,Onion2.jpg,329.20276904724324,329.3027650591207,0.09999601187746521
1081,1717,5,8,0,28,34,stimuli_orig\Lynx1_body.jpg,0,0,0,Lynx1_body.jpg,329.40276400344146,329.50275942883036,0.09999542538889727
1082,1718,5,8,0,29,27,stimuli_orig\Goat4_face.jpg,0,0,0,Goat4_face.jpg,329.6027583731511,329.70275526476144,0.0999968916103171
1083,1719,5,8,1,30,53,stimuli_targets\blacksquare.jpg,0,0,0,blacksquare.jpg,329.8027665253426,329.9027496344711,0.09998310912851593
1084,1720,5,8,0,31,24,stimuli_orig\Giraffe3_body.jpg,0,0,0,Giraffe3_body.jpg,330.00274711257,330.1027434176917,0.09999630512174917
1085,1721,5,8,0,32,48,stimuli_orig\Table2.jpg,1,1,0,Table2.jpg,330.20272300788884,330.30273866713424,0.10001565924540046
1086,1722,5,8,0,33,40,stimuli_orig\Rabbit1_body.jpg,0,0,0,Rabbit1_body.jpg,330.40273585198884,330.50274124768384,0.10000539569500688
1087,1723,5,8,0,34,41,stimuli_orig\Rabbit2_face.jpg,0,0,0,Rabbit2_face.jpg,330.6027401920046,330.7027320984621,0.09999190645748968
1088,1724,5,8,0,35,21,stimuli_orig\Flower6.jpg,0,0,0,Flower6.jpg,330.8027389603785,330.90270946000237,0.09997049962385063
1089,1725,5,8,0,36,5,stimuli_orig\Bottle2.jpg,0,0,0,Bottle2.jpg,331.0027177881402,331.1027281689885,0.10001038084828906
1090,1726,5,8,0,37,25,stimuli_orig\Goat2_face.jpg,0,0,0,Goat2_face.jpg,331.20269808212333,331.30267180743476,0.09997372531142901
1091,1727,5,8,0,38,50,stimuli_orig\Wolf1_body.jpg,0,0,0,Wolf1_body.jpg,331.40270007618483,331.50269667455086,0.09999659836603314
1092,1728,5,8,0,39,22,stimuli_orig\Flower7.jpg,0,0,0,Flower7.jpg,331.60272113112524,331.70268547261867,0.09996434149343258
1093,1729,5,8,0,40,4,stimuli_orig\Bicycle1.jpg,0,0,0,Bicycle1.jpg,331.8026650628158,331.90266957877793,0.10000451596215498
1094,1730,5,8,0,41,10,stimuli_orig\Cheeta1_face.jpg,0,0,0,Cheeta1_face.jpg,332.00265943252543,332.102701190513,0.10004175798758297
1095,1731,5,8,0,42,12,stimuli_orig\Cow4_body.jpg,0,0,0,Cow4_body.jpg,332.2026948564362,332.3026908683137,0.09999601187746521
1096,1732,5,8,0,43,18,stimuli_orig\Deer3_face.jpg,0,0,0,Deer3_face.jpg,332.4026701652665,332.50267145554153,0.10000129027503135
1097,1733,5,8,0,44,38,stimuli_orig\Object2.jpg,0,0,0,Object2.jpg,332.60267479852655,332.70268195368726,0.10000715516071068
1098,1734,5,8,0,45,45,stimuli_orig\Sheep2_body.jpg,0,0,0,Sheep2_body.jpg,332.80264160327215,332.9026613679375,0.10001976466537599
1099,1735,5,8,0,46,46,stimuli_orig\Sheep2_face.jpg,0,0,0,Sheep2_face.jpg,333.00268670424475,333.1026475268068,0.09996082256202499
1100,1736,5,8,0,47,28,stimuli_orig\Headphone1.jpg,0,0,0,Headphone1.jpg,333.20263327513385,333.30263133972176,0.09999806458790772
1101,1737,5,8,0,48,23,stimuli_orig\Fox2_face.jpg,0,0,0,Fox2_face.jpg,333.40265550305185,333.5026696960758,0.10001419302398062
1102,1738,5,8,0,49,36,stimuli_orig\Monkey3_face.jpg,0,0,0,Monkey3_face.jpg,333.6026451808525,333.70264500490566,0.09999982405315677
1103,1739,5,8,0,50,29,stimuli_orig\Helmet1.jpg,0,0,0,Helmet1.jpg,333.8026624236172,333.90261679480454,0.09995437118732298
1104,1740,5,8,0,51,47,stimuli_orig\Spinich1.jpg,0,0,0,Spinich1.jpg,334.002664124434,334.10264107543253,0.09997695099855264
1105,1741,5,8,0,52,15,stimuli_orig\Deer2_body.jpg,0,0,0,Deer2_body.jpg,334.2026365008214,334.302651280334,0.10001477951254856
1106,1742,5,8,0,53,6,stimuli_orig\Cactus1.jpg,0,0,0,Cactus1.jpg,334.4026326299968,334.5026365594699,0.1000039294731323
1107,1743,5,8,0,54,52,stimuli_orig\Wrench1.jpg,0,0,0,Wrench1.jpg,334.6026437146311,334.70264500490566,0.1000012902745766
1108,1744,5,8,0,55,37,stimuli_orig\Motorcycle3.jpg,0,0,0,Motorcycle3.jpg,334.8026407235393,334.90261474209456,0.09997401855525823
1109,1745,5,8,0,56,45,stimuli_orig\Sheep2_body.jpg,0,0,0,Sheep2_body.jpg,335.00262189725527,335.1026319848593,0.1000100876040051
1110,1746,5,8,0,57,2,stimuli_orig\Apple1.jpg,0,0,0,Apple1.jpg,335.20262095887347,335.3026319262103,0.10001096733685699
1111,1747,5,8,0,58,22,stimuli_orig\Flower7.jpg,0,0,0,Flower7.jpg,335.40262881782064,335.50262424320954,0.09999542538889727
1112,1748,5,8,0,59,4,stimuli_orig\Bicycle1.jpg,0,0,0,Bicycle1.jpg,335.6026264132174,335.70262271833917,0.09999630512174917
1113,1749,5,8,0,60,7,stimuli_orig\Camel3_body.jpg,0,0,0,Camel3_body.jpg,335.8026187302171,335.90261826102596,0.0999995308088728
1114,1750,5,8,0,61,15,stimuli_orig\Deer2_body.jpg,0,0,0,Deer2_body.jpg,336.0026133931706,336.10261233749134,0.09999894432075962
