eventnumber,index,sequencenumber,yokedsequencenumber,istarget,presentationnumber,stimnumber,stim,response,correct,rt,stimname,time_stimon,time_stimoff,stimdur
41,1098,0,5,0,41,20,stimuli_orig\Flower5.jpg,0,0,0,Flower5.jpg,69.21710429467976,69.31709972006911,0.09999542538935202
42,1099,0,5,0,42,8,stimuli_orig\Carrat1.jpg,0,0,0,Carrat1.jpg,69.41710658198554,69.51709936817588,0.09999278619034158
43,1100,0,5,0,43,25,stimuli_orig\Goat2_face.jpg,0,0,0,Goat2_face.jpg,69.6170980192519,69.71709285815223,0.09999483890032934
44,1101,0,5,0,44,3,stimuli_orig\Beaver1_body.jpg,0,0,0,Beaver1_body.jpg,69.81709092274014,69.91708898732759,0.09999806458745297
45,1102,0,5,0,45,32,stimuli_orig\Kangaroo3_face.jpg,0,0,0,Kangaroo3_face.jpg,70.01708558569362,70.11708277054868,0.09999718485505582
46,1103,0,5,0,46,18,stimuli_orig\Deer3_face.jpg,0,0,0,Deer3_face.jpg,70.21708171486898,70.31707801999073,0.09999630512174917
47,1104,0,5,0,47,23,stimuli_orig\Fox2_face.jpg,0,0,0,Fox2_face.jpg,70.41709426572515,70.5170961424883,0.10000187676314454
48,1105,0,5,0,48,27,stimuli_orig\Goat4_face.jpg,0,0,0,Goat4_face.jpg,70.61707543944112,70.71707145131859,0.09999601187746521
49,1106,0,5,0,49,49,stimuli_orig\Toothpaste1.jpg,0,0,0,Toothpaste1.jpg,70.81707186186077,70.91706318182969,0.09999131996892174
50,1107,0,5,0,50,9,stimuli_orig\Chandelier1.jpg,0,0,0,Chandelier1.jpg,71.01706329912713,71.11705843127174,0.09999513214461331
51,1108,0,5,0,51,1,stimuli_orig\Anchor2.jpg,0,0,0,Anchor2.jpg,71.21705766883679,71.31705338746997,0.09999571863318124
52,1109,0,5,0,52,41,stimuli_orig\Rabbit2_face.jpg,0,0,0,Rabbit2_face.jpg,71.41705379801215,71.51705039637818,0.09999659836603314
53,1110,0,5,0,53,9,stimuli_orig\Chandelier1.jpg,0,0,0,Chandelier1.jpg,71.61705139340893,71.71704623230926,0.09999483890032934
54,1111,0,5,0,54,4,stimuli_orig\Bicycle1.jpg,0,0,0,Bicycle1.jpg,71.81704781582857,71.91704382770604,0.09999601187746521
55,1112,0,5,0,55,10,stimuli_orig\Cheeta1_face.jpg,0,0,0,Cheeta1_face.jpg,72.01704423824776,72.11704025012568,0.09999601187791995
56,1113,0,5,0,56,25,stimuli_orig\Goat2_face.jpg,0,0,0,Goat2_face.jpg,72.217037141736,72.3170308076592,0.09999366592319348
57,1114,0,5,0,57,49,stimuli_orig\Toothpaste1.jpg,0,0,0,Toothpaste1.jpg,72.41703121820137,72.5170316287431,0.1000004105417247
58,1115,0,5,0,58,46,stimuli_orig\Sheep2_face.jpg,0,0,0,Sheep2_face.jpg,72.61702646764343,72.71702453223133,0.09999806458790772
59,1116,0,5,0,59,44,stimuli_orig\Seashell1.jpg,0,0,0,Seashell1.jpg,72.8170287549492,72.91702740602523,0.0999986510760209
60,1117,0,5,0,60,35,stimuli_orig\Microscope2.jpg,0,0,0,Microscope2.jpg,73.01703309496452,73.11704054336997,0.1000074484054494
